Date,Open,High,Low,Close
26/5/2023,1792.984863,1824.755005,1784.484375,1817.961548
27/5/2023,1817.773193,1825.549683,1807.494629,1816.291138
28/5/2023,1816.329224,1912.980835,1811.788574,1909.97229
29/5/2023,1908.729858,1921.407227,1880.395508,1885.6604
30/5/2023,1885.267334,1906.551147,1883.491455,1897.06958
31/5/2023,1897.494141,1900.773071,1836.652222,1864.181152
1/6/2023,1864.128296,1873.295654,1834.632446,1850.217285
2/6/2023,1850.093262,1905.014038,1844.394409,1903.463379
3/6/2023,1904.173462,1906.204346,1879.845825,1889.257324
4/6/2023,1888.952637,1902.713745,1879.229736,1881.467773
5/6/2023,1881.932129,1883.783936,1789.355347,1804.966553
6/6/2023,1805.785767,1885.406982,1797.789063,1872.414429
7/6/2023,1871.880127,1882.291504,1820.762329,1824.885254
8/6/2023,1824.856201,1842.607178,1822.913574,1831.997925
9/6/2023,1831.873901,1840.226196,1820.576538,1830.498901
10/6/2023,1830.366821,1833.324097,1720.707397,1741.974609
11/6/2023,1741.893555,1765.044922,1736.698486,1746.110596
12/6/2023,1745.888916,1749.804932,1723.464355,1733.901123
13/6/2023,1734.009766,1751.091553,1728.317261,1736.108032
14/6/2023,1736.088257,1744.101074,1637.50415,1649.781982
15/6/2023,1649.952637,1675.908203,1624.986328,1669.419067
16/6/2023,1669.526001,1723.314819,1656.64502,1714.585815
17/6/2023,1714.603149,1751.69165,1709.691284,1720.536743
18/6/2023,1720.456299,1735.674683,1716.428711,1720.960571
19/6/2023,1720.966064,1738.577881,1707.769897,1731.988159
20/6/2023,1732.593384,1780.084351,1717.880859,1779.18396
21/6/2023,1779.173096,1884.153564,1774.873657,1877.370972
22/6/2023,1876.976074,1912.115234,1869.230347,1873.829834
23/6/2023,1873.952515,1918.146484,1864.366577,1887.929443
24/6/2023,1888.357544,1896.550781,1866.376953,1868.178833
25/6/2023,1868.056641,1913.181152,1862.044067,1893.630005
26/6/2023,1893.61438,1896.287476,1835.186768,1848.256836
27/6/2023,1848.342773,1900.557983,1847.232178,1884.01123
28/6/2023,1884.141113,1884.141113,1818.458252,1818.458252
29/6/2023,1818.456299,1865.297119,1818.456299,1841.457275
30/6/2023,1841.327881,1926.744629,1829.824707,1920.211914
1/7/2023,1920.260864,1929.394897,1895.39209,1917.230591
2/7/2023,1916.971924,1943.145142,1893.208618,1923.407349
3/7/2023,1923.475464,1955.011353,1919.831177,1938.415283
4/7/2023,1937.064331,1961.415527,1930.390259,1934.602905
5/7/2023,1934.735596,1941.482422,1895.190552,1906.614258
6/7/2023,1906.591797,1948.282227,1837.227051,1838.776001
7/7/2023,1839.760864,1867.468018,1823.976807,1859.210449
8/7/2023,1859.384766,1861.912476,1827.002686,1842.60437
9/7/2023,1842.633301,1868.117065,1840.431885,1855.874023
10/7/2023,1848.375854,1888.908813,1838.324219,1875.292847
11/7/2023,1875.375732,1880.095459,1861.417358,1873.666382
12/7/2023,1873.638794,1894.716797,1862.199707,1870.121094
13/7/2023,1870.201538,1995.361816,1861.200073,1994.978149
14/7/2023,1994.952515,2010.236328,1901.717773,1934.216064
15/7/2023,1934.698608,1939.387939,1921.43689,1925.221558
16/7/2023,1925.210938,1934.284424,1915.256958,1919.410889
17/7/2023,1919.440186,1932.78833,1876.877808,1905.494141
18/7/2023,1904.887207,1920.304321,1879.060181,1894.925171
19/7/2023,1895.881592,1913.234009,1885.770386,1888.843018
20/7/2023,1888.854492,1922.425415,1880.92627,1888.980957
21/7/2023,1889.084717,1897.369507,1883.822266,1889.87793
22/7/2023,1889.53125,1892.876709,1856.464722,1860.314331
23/7/2023,1860.608765,1894.830078,1857.741699,1884.69165
24/7/2023,1884.444458,1886.7948,1836.921875,1846.358521
25/7/2023,1846.347656,1861.712769,1844.470581,1856.06665
26/7/2023,1856.245728,1882.402222,1848.896484,1869.194946
27/7/2023,1869.322876,1881.774658,1853.013062,1857.052368
28/7/2023,1857.109009,1874.691772,1854.161011,1872.740112
29/7/2023,1872.554565,1880.666382,1867.335205,1874.430664
30/7/2023,1874.490112,1877.327515,1852.771484,1858.942627
31/7/2023,1858.616089,1867.921265,1847.577393,1852.2854
1/8/2023,1852.19873,1864.349609,1814.044434,1864.349609
2/8/2023,1864.192383,1869.57605,1824.227661,1834.350342
3/8/2023,1834.420654,1848.650269,1823.259033,1825.914551
4/8/2023,1825.842773,1842.524048,1816.662231,1821.096191
5/8/2023,1821.208008,1832.67334,1819.640869,1831.717407
6/8/2023,1831.914185,1832.192749,1820.671997,1822.669678
7/8/2023,1823.041138,1839.707886,1805.05127,1822.174805
8/8/2023,1822.051392,1864.337524,1821.485352,1853.017578
9/8/2023,1852.873291,1862.358154,1840.669678,1848.997559
10/8/2023,1848.765747,1855.764893,1841.013306,1848.3573
11/8/2023,1848.422729,1851.094727,1839.699707,1845.3573
12/8/2023,1845.059082,1848.498047,1843.674927,1845.474731
13/8/2023,1843.42981,1855.275269,1836.338867,1838.937988
14/8/2023,1838.805054,1851.181519,1836.168457,1841.266724
15/8/2023,1841.074097,1843.481201,1813.578491,1816.762085
16/8/2023,1816.69873,1822.982422,1798.041748,1803.012207
17/8/2023,1803.003418,1805.59021,1574.837646,1686.072388
18/8/2023,1685.91272,1695.945557,1645.079102,1664.887207
19/8/2023,1664.997192,1689.461792,1654.085693,1667.648926
20/8/2023,1668.039429,1688.668213,1663.465332,1684.107056
21/8/2023,1683.747925,1686.805786,1657.914185,1670.203613
22/8/2023,1670.348511,1670.938232,1598.348633,1632.516113
23/8/2023,1632.227661,1694.237915,1627.175171,1678.348999
24/8/2023,1678.597534,1684.205322,1646.255005,1660.955322
25/8/2023,1660.996826,1665.794678,1635.383789,1651.348633
26/8/2023,1651.25061,1652.91626,1641.552979,1642.022339
27/8/2023,1642.002075,1656.796753,1641.418335,1655.96167
28/8/2023,1655.777588,1655.984009,1632.402222,1651.682739
29/8/2023,1651.716064,1738.188232,1640.120117,1724.96814
30/8/2023,1725.141357,1725.616333,1693.924805,1698.771484
31/8/2023,1698.627319,1713.569336,1642.959717,1646.827515
1/9/2023,1646.786743,1650.125,1608.301758,1621.645264
2/9/2023,1621.754395,1636.789917,1621.56543,1631.856689
3/9/2023,1631.916626,1637.928345,1624.353882,1632.092285
4/9/2023,1632.046509,1635.799561,1618.107666,1625.146484
5/9/2023,1625.218018,1637.113281,1610.425171,1629.760376
6/9/2023,1629.735962,1640.094238,1612.390015,1627.883545
7/9/2023,1627.859009,1646.146362,1623.545532,1640.446533
8/9/2023,1640.436401,1648.081909,1619.341431,1633.272461
9/9/2023,1633.018555,1633.683472,1626.786621,1631.450806
10/9/2023,1631.37854,1631.47644,1605.01416,1613.644043
11/9/2023,1613.349243,1613.918213,1543.177979,1551.214722
12/9/2023,1551.082153,1610.372192,1550.856689,1591.501953
